service_id,date,exception_type
A.318,20110927,1
p.318,20110927,1
7.318,20110927,1
W.318,20110927,1
W.318,20110928,1
7.318,20110928,1
p.318,20110928,1
A.318,20110928,1
p.318,20110929,1
W.318,20110929,1
7.318,20110929,1
A.318,20110929,1
P.318,20110930,1
W.318,20110930,1
7.318,20110930,1
A.318,20110930,1
8.318,20111001,1
B.318,20111001,1
K.318,20111001,1
S.318,20111001,1
c.320,20111002,1
k.320,20111002,1
U.320,20111002,1
T.320,20111002,1
7.320,20111003,1
A.320,20111003,1
W.320,20111003,1
p.320,20111003,1
7.320,20111004,1
A.320,20111004,1
W.320,20111004,1
p.320,20111004,1
7.320,20111005,1
A.320,20111005,1
W.320,20111005,1
p.320,20111005,1
7.320,20111006,1
A.320,20111006,1
W.320,20111006,1
p.320,20111006,1
7.320,20111007,1
A.320,20111007,1
W.320,20111007,1
P.320,20111007,1
8.320,20111008,1
K.320,20111008,1
S.320,20111008,1
B.320,20111008,1
C.320,20111009,1
k.320,20111009,1
U.320,20111009,1
7.320,20111010,1
p.320,20111010,1
A.320,20111010,1
W.320,20111010,1
Z.320,20111010,1
7.320,20111011,1
p.320,20111011,1
A.320,20111011,1
W.320,20111011,1
Z.320,20111011,1
7.320,20111012,1
p.320,20111012,1
A.320,20111012,1
W.320,20111012,1
Z.320,20111012,1
7.320,20111013,1
p.320,20111013,1
A.320,20111013,1
W.320,20111013,1
Z.320,20111013,1
P.320,20111014,1
Z.320,20111014,1
A.320,20111014,1
W.320,20111014,1
7.320,20111014,1
8.320,20111015,1
B.320,20111015,1
K.320,20111015,1
S.320,20111015,1
H.320,20111015,1
C.320,20111016,1
I.320,20111016,1
U.320,20111016,1
k.320,20111016,1
p.320,20111017,1
Z.320,20111017,1
A.320,20111017,1
W.320,20111017,1
7.320,20111017,1
p.320,20111018,1
Z.320,20111018,1
A.320,20111018,1
W.320,20111018,1
7.320,20111018,1
p.320,20111019,1
Z.320,20111019,1
A.320,20111019,1
W.320,20111019,1
7.320,20111019,1
p.320,20111020,1
Z.320,20111020,1
A.320,20111020,1
W.320,20111020,1
7.320,20111020,1
P.320,20111021,1
Z.320,20111021,1
A.320,20111021,1
W.320,20111021,1
7.320,20111021,1
8.320,20111022,1
B.320,20111022,1
K.320,20111022,1
S.320,20111022,1
H.320,20111022,1
C.320,20111023,1
k.320,20111023,1
U.320,20111023,1
I.320,20111023,1
p.320,20111024,1
Z.320,20111024,1
A.320,20111024,1
W.320,20111024,1
7.320,20111024,1
p.320,20111025,1
Z.320,20111025,1
A.320,20111025,1
W.320,20111025,1
7.320,20111025,1
p.320,20111026,1
Z.320,20111026,1
A.320,20111026,1
W.320,20111026,1
7.320,20111026,1
p.320,20111027,1
Z.320,20111027,1
A.320,20111027,1
W.320,20111027,1
7.320,20111027,1
P.320,20111028,1
z.320,20111028,1
A.320,20111028,1
W.320,20111028,1
7.320,20111028,1
8.320,20111029,1
h.320,20111029,1
B.320,20111029,1
K.320,20111029,1
S.320,20111029,1
C.320,20111030,1
k.320,20111030,1
U.320,20111030,1
i.320,20111030,1
p.320,20111031,1
A.320,20111031,1
W.320,20111031,1
7.320,20111031,1
A.320,20111101,1
p.320,20111101,1
7.320,20111101,1
W.320,20111101,1
A.320,20111102,1
7.320,20111102,1
W.320,20111102,1
p.320,20111102,1
7.320,20111103,1
W.320,20111103,1
A.320,20111103,1
p.320,20111103,1
W.320,20111104,1
7.320,20111104,1
P.320,20111104,1
A.320,20111104,1
S.320,20111105,1
8.320,20111105,1
B.320,20111105,1
C.320,20111106,1
U.320,20111106,1
7.320,20111107,1
W.320,20111107,1
p.320,20111107,1
A.320,20111107,1
A.320,20111108,1
7.320,20111108,1
W.320,20111108,1
p.320,20111108,1
p.320,20111109,1
7.320,20111109,1
A.320,20111109,1
W.320,20111109,1
p.320,20111110,1
A.320,20111110,1
7.320,20111110,1
W.320,20111110,1
W.320,20111111,1
7.320,20111111,1
A.320,20111111,1
P.320,20111111,1
S.320,20111112,1
B.320,20111112,1
