fare_id,price,currency_type,payment_method,transfers,transfer_duration
0,4,USD,1,0,
1,0,USD,1,,7200
2,2.1,USD,1,,7200
3,2.1,USD,1,,7200
4,2.1,USD,1,,7200
5,2.1,USD,1,,7200
6,2.1,USD,1,,7200
7,2.1,USD,1,,7200
8,2.4,USD,1,,7200
9,2.1,USD,1,,7200
10,2.1,USD,1,,7200
11,2.4,USD,1,,7200
12,2.1,USD,1,,7200
13,2.1,USD,1,,7200
14,2.4,USD,1,,7200
15,2.4,USD,1,,7200
16,2.1,USD,1,,7200
17,2.4,USD,1,,7200
18,2.1,USD,1,,7200
19,2.1,USD,1,,7200
20,2.4,USD,1,,7200
21,2.4,USD,1,,7200
22,2.1,USD,1,,7200
23,2.1,USD,1,,7200
24,2.1,USD,1,,7200
25,2.1,USD,1,,7200
26,2.4,USD,1,,7200
27,2.4,USD,1,,7200
28,2.1,USD,1,,7200
29,2.1,USD,1,,7200
30,2.4,USD,1,,7200
31,2.1,USD,1,,7200
32,2.4,USD,1,,7200
33,2.4,USD,1,,7200
34,2.1,USD,1,,7200
35,2.4,USD,1,,7200
36,2.4,USD,1,,7200
37,2.1,USD,1,,7200
38,2.4,USD,1,,7200
39,2.1,USD,1,,7200
40,2.1,USD,1,,7200
41,2.4,USD,1,,7200
42,2.4,USD,1,,7200
43,2.4,USD,1,,7200
44,2.1,USD,1,,7200
45,2.1,USD,1,,7200
46,2.4,USD,1,,7200
47,2.4,USD,1,,7200
48,2.4,USD,1,,7200
49,2.4,USD,1,,7200
50,2.4,USD,1,,7200
51,2.4,USD,1,,7200
52,2.1,USD,1,,7200
53,2.4,USD,1,,7200
54,2.4,USD,1,,7200
55,2.4,USD,1,,7200
56,2.4,USD,1,,7200
57,2.4,USD,1,,7200
58,2.4,USD,1,,7200
59,2.1,USD,1,,7200
60,2.1,USD,1,,7200
61,2.4,USD,1,,7200
62,2.4,USD,1,,7200
63,2.4,USD,1,,7200
64,2.4,USD,1,,7200
65,2.4,USD,1,,7200
66,2.4,USD,1,,7200
67,2.1,USD,1,,7200
68,2.4,USD,1,,7200
69,2.4,USD,1,,7200
70,2.4,USD,1,,7200
71,2.4,USD,1,,7200
72,2.4,USD,1,,7200
73,2.4,USD,1,,7200
74,2.1,USD,1,,7200
75,2.1,USD,1,,7200
76,2.4,USD,1,,7200
77,2.1,USD,1,,7200
78,2.4,USD,1,,7200
79,2.4,USD,1,,7200
80,2.1,USD,1,,7200
81,2.4,USD,1,,7200
82,2.4,USD,1,,7200
83,2.4,USD,1,,7200
84,2.4,USD,1,,7200
85,2.4,USD,1,,7200
86,2.1,USD,1,,7200
87,2.4,USD,1,,7200
88,2.4,USD,1,,7200
89,2.4,USD,1,,7200
90,2.4,USD,1,,7200
91,2.4,USD,1,,7200
92,2.4,USD,1,,7200
93,2.4,USD,1,,7200
94,2.1,USD,1,,7200
95,2.1,USD,1,,7200
96,2.4,USD,1,,7200
97,2.4,USD,1,,7200
98,2.4,USD,1,,7200
99,2.4,USD,1,,7200
100,2.4,USD,1,,7200
101,2.4,USD,1,,7200
102,2.1,USD,1,,7200
103,2.4,USD,1,,7200
104,2.4,USD,1,,7200
105,2.4,USD,1,,7200
106,2.4,USD,1,,7200
107,2.4,USD,1,,7200
108,2.4,USD,1,,7200
109,2.4,USD,1,,7200
110,2.4,USD,1,,7200
111,2.4,USD,1,,7200
112,2.1,USD,1,,7200
113,2.4,USD,1,,7200
114,2.4,USD,1,,7200
115,2.4,USD,1,,7200
116,2.4,USD,1,,7200
117,2.4,USD,1,,7200
118,2.4,USD,1,,7200
119,2.4,USD,1,,7200
120,2.4,USD,1,,7200
121,2.4,USD,1,,7200
122,2.4,USD,1,,7200
123,2.4,USD,1,,7200
124,2.4,USD,1,,7200
125,2.4,USD,1,,7200
126,2.4,USD,1,,7200
127,2.4,USD,1,,7200
128,2.4,USD,1,,7200
129,2.4,USD,1,,7200
130,2.4,USD,1,,7200
131,2.4,USD,1,,7200
132,2.1,USD,1,,7200
133,2.4,USD,1,,7200
134,2.4,USD,1,,7200
135,2.4,USD,1,,7200
136,2.4,USD,1,,7200
137,2.4,USD,1,,7200
138,2.4,USD,1,,7200
139,2.4,USD,1,,7200
140,2.4,USD,1,,7200
141,2.4,USD,1,,7200
142,2.4,USD,1,,7200
143,2.4,USD,1,,7200
144,2.4,USD,1,,7200
145,2.4,USD,1,,7200
146,2.4,USD,1,,7200
147,2.4,USD,1,,7200
148,2.4,USD,1,,7200
149,2.4,USD,1,,7200
150,2.4,USD,1,,7200
151,2.1,USD,1,,7200
152,2.4,USD,1,,7200
153,2.4,USD,1,,7200
154,2.4,USD,1,,7200
155,2.4,USD,1,,7200
156,2.4,USD,1,,7200
157,2.4,USD,1,,7200
158,2.4,USD,1,,7200
159,2.4,USD,1,,7200
160,2.4,USD,1,,7200
161,2.4,USD,1,,7200
162,2.4,USD,1,,7200
163,2.4,USD,1,,7200
164,2.4,USD,1,,7200
165,2.4,USD,1,,7200
166,2.4,USD,1,,7200
167,2.1,USD,1,,7200
168,2.4,USD,1,,7200
169,2.4,USD,1,,7200
170,2.4,USD,1,,7200
171,2.4,USD,1,,7200
172,2.4,USD,1,,7200
173,2.4,USD,1,,7200
174,2.4,USD,1,,7200
175,2.4,USD,1,,7200
176,2.4,USD,1,,7200
177,2.4,USD,1,,7200
178,2.4,USD,1,,7200
179,2.4,USD,1,,7200
180,2.4,USD,1,,7200
181,2.4,USD,1,,7200
182,2.4,USD,1,,7200
183,2.4,USD,1,,7200
184,2.4,USD,1,,7200
185,2.4,USD,1,,7200
186,2.4,USD,1,,7200
187,2.4,USD,1,,7200
188,2.4,USD,1,,7200
189,2.4,USD,1,,7200
190,2.4,USD,1,,7200
191,2.4,USD,1,,7200
192,2.4,USD,1,,7200
193,2.4,USD,1,,7200
194,2.4,USD,1,,7200
195,2.4,USD,1,,7200
196,2.4,USD,1,,7200
197,2.4,USD,1,,7200
198,2.4,USD,1,,7200
199,2.4,USD,1,,7200
200,2.4,USD,1,,7200
201,2.4,USD,1,,7200
202,2.4,USD,1,,7200
203,2.4,USD,1,,7200
204,2.4,USD,1,,7200
205,2.4,USD,1,,7200
206,2.4,USD,1,,7200
207,2.4,USD,1,,7200
