fare_id,origin_id,route_id,contains_id
0,,,T
1,0,,0
2,0,,1
3,0,,2
4,0,,3
5,0,,M1
6,0,,M2
7,0,,M3
8,0,,W
9,0,,0
9,0,,1
10,0,,0
10,0,,2
11,0,,0
11,0,,3
12,0,,0
12,0,,M1
13,0,,0
13,0,,M2
14,0,,0
14,0,,M3
15,0,,0
15,0,,W
16,0,,1
16,0,,2
17,0,,1
17,0,,3
18,0,,1
18,0,,M1
19,0,,1
19,0,,M2
20,0,,1
20,0,,M3
21,0,,1
21,0,,W
22,0,,2
22,0,,3
23,0,,2
23,0,,M1
24,0,,2
24,0,,M2
25,0,,2
25,0,,M3
26,0,,2
26,0,,W
27,0,,3
27,0,,M1
28,0,,3
28,0,,M2
29,0,,3
29,0,,M3
30,0,,3
30,0,,W
31,0,,M1
31,0,,M2
32,0,,M1
32,0,,M3
33,0,,M1
33,0,,W
34,0,,M2
34,0,,M3
35,0,,M2
35,0,,W
36,0,,M3
36,0,,W
37,0,,0
37,0,,1
37,0,,2
38,0,,0
38,0,,1
38,0,,3
39,0,,0
39,0,,1
39,0,,M1
40,0,,0
40,0,,1
40,0,,M2
41,0,,0
41,0,,1
41,0,,M3
42,0,,0
42,0,,1
42,0,,W
43,0,,0
43,0,,2
43,0,,3
44,0,,0
44,0,,2
44,0,,M1
45,0,,0
45,0,,2
45,0,,M2
46,0,,0
46,0,,2
46,0,,M3
47,0,,0
47,0,,2
47,0,,W
48,0,,0
48,0,,3
48,0,,M1
49,0,,0
49,0,,3
49,0,,M2
50,0,,0
50,0,,3
50,0,,M3
51,0,,0
51,0,,3
51,0,,W
52,0,,0
52,0,,M1
52,0,,M2
53,0,,0
53,0,,M1
53,0,,M3
54,0,,0
54,0,,M1
54,0,,W
55,0,,0
55,0,,M2
55,0,,M3
56,0,,0
56,0,,M2
56,0,,W
57,0,,0
57,0,,M3
57,0,,W
58,0,,1
58,0,,2
58,0,,3
59,0,,1
59,0,,2
59,0,,M1
60,0,,1
60,0,,2
60,0,,M2
61,0,,1
61,0,,2
61,0,,M3
62,0,,1
62,0,,2
62,0,,W
63,0,,1
63,0,,3
63,0,,M1
64,0,,1
64,0,,3
64,0,,M2
65,0,,1
65,0,,3
65,0,,M3
66,0,,1
66,0,,3
66,0,,W
67,0,,1
67,0,,M1
67,0,,M2
68,0,,1
68,0,,M1
68,0,,M3
69,0,,1
69,0,,M1
69,0,,W
70,0,,1
70,0,,M2
70,0,,M3
71,0,,1
71,0,,M2
71,0,,W
72,0,,1
72,0,,M3
72,0,,W
73,0,,2
73,0,,3
73,0,,M1
74,0,,2
74,0,,3
74,0,,M2
75,0,,2
75,0,,3
75,0,,M3
76,0,,2
76,0,,3
76,0,,W
77,0,,2
77,0,,M1
77,0,,M2
78,0,,2
78,0,,M1
78,0,,M3
79,0,,2
79,0,,M1
79,0,,W
80,0,,2
80,0,,M2
80,0,,M3
81,0,,2
81,0,,M2
81,0,,W
82,0,,2
82,0,,M3
82,0,,W
83,0,,3
83,0,,M1
83,0,,M2
84,0,,3
84,0,,M1
84,0,,M3
85,0,,3
85,0,,M1
85,0,,W
86,0,,3
86,0,,M2
86,0,,M3
87,0,,3
87,0,,M2
87,0,,W
88,0,,3
88,0,,M3
88,0,,W
89,0,,M1
89,0,,M2
89,0,,M3
90,0,,M1
90,0,,M2
90,0,,W
91,0,,M1
91,0,,M3
91,0,,W
92,0,,M2
92,0,,M3
92,0,,W
93,0,,0
93,0,,1
93,0,,2
93,0,,3
94,0,,0
94,0,,1
94,0,,2
94,0,,M1
95,0,,0
95,0,,1
95,0,,2
95,0,,M2
96,0,,0
96,0,,1
96,0,,2
96,0,,M3
97,0,,0
97,0,,1
97,0,,2
97,0,,W
98,0,,0
98,0,,1
98,0,,3
98,0,,M1
99,0,,0
99,0,,1
99,0,,3
99,0,,M2
100,0,,0
100,0,,1
100,0,,3
100,0,,M3
101,0,,0
101,0,,1
101,0,,3
101,0,,W
102,0,,0
102,0,,1
102,0,,M1
102,0,,M2
103,0,,0
103,0,,1
103,0,,M1
103,0,,M3
104,0,,0
104,0,,1
104,0,,M1
104,0,,W
105,0,,0
105,0,,1
105,0,,M2
105,0,,M3
106,0,,0
106,0,,1
106,0,,M2
106,0,,W
107,0,,0
107,0,,1
107,0,,M3
107,0,,W
108,0,,0
108,0,,2
108,0,,3
108,0,,M1
109,0,,0
109,0,,2
109,0,,3
109,0,,M2
110,0,,0
110,0,,2
110,0,,3
110,0,,M3
111,0,,0
111,0,,2
111,0,,3
111,0,,W
112,0,,0
112,0,,2
112,0,,M1
112,0,,M2
113,0,,0
113,0,,2
113,0,,M1
113,0,,M3
114,0,,0
114,0,,2
114,0,,M1
114,0,,W
115,0,,0
115,0,,2
115,0,,M2
115,0,,M3
116,0,,0
116,0,,2
116,0,,M2
116,0,,W
117,0,,0
117,0,,2
117,0,,M3
117,0,,W
118,0,,0
118,0,,3
118,0,,M1
118,0,,M2
119,0,,0
119,0,,3
119,0,,M1
119,0,,M3
120,0,,0
120,0,,3
120,0,,M1
120,0,,W
121,0,,0
121,0,,3
121,0,,M2
121,0,,M3
122,0,,0
122,0,,3
122,0,,M2
122,0,,W
123,0,,0
123,0,,3
123,0,,M3
123,0,,W
124,0,,0
124,0,,M1
124,0,,M2
124,0,,M3
125,0,,0
125,0,,M1
125,0,,M2
125,0,,W
126,0,,0
126,0,,M1
126,0,,M3
126,0,,W
127,0,,0
127,0,,M2
127,0,,M3
127,0,,W
128,0,,1
128,0,,2
128,0,,3
128,0,,M1
129,0,,1
129,0,,2
129,0,,3
129,0,,M2
130,0,,1
130,0,,2
130,0,,3
130,0,,M3
131,0,,1
131,0,,2
131,0,,3
131,0,,W
132,0,,1
132,0,,2
132,0,,M1
132,0,,M2
133,0,,1
133,0,,2
133,0,,M1
133,0,,M3
134,0,,1
134,0,,2
134,0,,M1
134,0,,W
135,0,,1
135,0,,2
135,0,,M2
135,0,,M3
136,0,,1
136,0,,2
136,0,,M2
136,0,,W
137,0,,1
137,0,,2
137,0,,M3
137,0,,W
138,0,,1
138,0,,3
138,0,,M1
138,0,,M2
139,0,,1
139,0,,3
139,0,,M1
139,0,,M3
140,0,,1
140,0,,3
140,0,,M1
140,0,,W
141,0,,1
141,0,,3
141,0,,M2
141,0,,M3
142,0,,1
142,0,,3
142,0,,M2
142,0,,W
143,0,,1
143,0,,3
143,0,,M3
143,0,,W
144,0,,1
144,0,,M1
144,0,,M2
144,0,,M3
145,0,,1
145,0,,M1
145,0,,M2
145,0,,W
146,0,,1
146,0,,M1
