from_stop_id,to_stop_id,transfer_type
8384,9633,0
13297,13138,0
2128,7819,0
10792,9600,0
8758,8759,0
5899,5899,0
5788,956,0
8762,8762,0
12794,3639,0
3340,3340,0
8383,6160,0
6166,8048,0
782,792,0
11271,200,0
7608,7767,0
1273,5903,0
6578,1375,0
4087,5599,0
9986,9980,0
8860,8581,0
9651,9650,0
3336,3352,0
13123,7789,0
9970,9624,0
7440,771,0
8547,8557,0
2563,13128,0
792,782,0
5314,5709,0
6474,142,0
1286,1285,0
10769,716,0
10768,6169,0
7451,2111,0
7894,2817,0
1819,7964,0
6911,6911,0
9145,8924,0
9625,9975,0
6652,5426,0
9972,9972,0
199,10848,0
13167,7767,0
2266,2266,0
7756,10764,0
7936,813,0
1097,11817,0
955,5555,0
10857,10858,0
10852,10573,0
46,5889,0
9977,9979,0
11935,3525,0
4707,13126,0
8382,7646,0
10318,10723,0
11507,11508,0
7594,7612,0
10852,10855,0
1469,7654,0
1273,5904,0
7281,2715,0
10085,10085,0
13132,13248,0
929,5552,0
8349,6623,0
4105,4105,0
5390,5467,0
3228,7918,0
8209,5846,0
3595,7122,0
7602,12382,0
5919,5919,0
10087,10114,0
7751,782,0
7772,7772,0
7445,7445,0
7751,7751,0
9982,9981,0
7815,793,0
8312,8312,0
7339,7342,0
9012,6961,0
9794,8356,0
9977,9980,0
12793,3639,0
10858,8357,0
9835,10033,0
11829,11498,0
7452,7451,0
4161,3335,0
5467,5390,0
9980,9976,0
8625,8625,0
13218,13127,0
9978,9976,0
11814,11817,0
143,9397,0
9794,1331,0
8361,9794,0
3507,3506,0
7591,7794,0
9955,9845,0
13089,2342,0
5790,5790,0
13477,8225,0
13066,9977,0
10846,8000,0
6935,1427,0
8894,2574,0
7614,13123,0
4536,4539,0
9022,10039,0
7767,7767,0
3582,8491,0
7627,7636,0
3639,13167,0
9599,9122,0
7487,5525,0
7519,3200,0
8343,9305,0
2364,2367,0
5958,4042,0
8376,5917,0
838,838,0
1172,1172,0
12792,10117,0
1847,5911,0
4437,3563,0
9974,9971,0
6971,9674,0
5918,5919,0
7625,8334,0
8190,8370,0
1354,9795,0
7751,7631,0
10118,10118,0
13068,8209,0
9038,9038,0
13031,3094,0
10859,2253,0
193,193,0
13123,7608,0
10803,7763,0
3200,7519,0
9830,9830,0
3452,3453,0
7937,814,0
10857,8360,0
9869,9871,0
1435,7110,0
3065,3065,0
9044,10759,0
9954,9846,0
2714,7281,0
10754,2030,0
