route_id,service_id,trip_id,direction_id,block_id,shape_id,trip_type
1,W.318,2305886,0,102,82713,
1,W.318,2305887,0,101,82713,
1,W.318,2305888,0,102,82713,
1,W.318,2305889,0,101,82713,
1,W.318,2305890,0,101,82714,
1,W.318,2305891,0,102,82712,
1,W.318,2305892,0,103,82712,
1,W.318,2305893,0,101,82712,
1,W.318,2305894,0,102,82712,
1,W.318,2305895,0,103,82712,
1,W.318,2305896,0,103,82713,
1,W.318,2305897,1,101,82716,
1,W.318,2305898,1,102,82716,
1,W.318,2305899,1,103,82716,
1,W.318,2305900,1,101,82716,
1,W.318,2305901,1,102,82716,
1,W.318,2305902,1,103,82716,
1,W.318,2305903,1,101,82716,
1,W.318,2305904,1,102,82716,
1,W.318,2305905,1,102,82715,
1,W.318,2305906,1,103,82715,
1,W.318,2305907,1,101,82715,
1,W.318,2305908,1,102,82715,
1,W.318,2305909,1,103,82715,
1,W.320,2354604,0,102,85712,
1,W.320,2354605,0,101,85712,
1,W.320,2354606,0,102,85712,
1,W.320,2354607,0,101,85712,
1,W.320,2354608,0,101,85713,
1,W.320,2354609,0,102,85711,
1,W.320,2354610,0,103,85711,
1,W.320,2354611,0,101,85711,
1,W.320,2354612,0,102,85711,
1,W.320,2354613,0,103,85711,
1,W.320,2354614,0,103,85712,
1,W.320,2354615,1,101,85715,
1,W.320,2354616,1,102,85715,
1,W.320,2354617,1,103,85715,
1,W.320,2354618,1,101,85715,
1,W.320,2354619,1,102,85715,
1,W.320,2354620,1,103,85715,
1,W.320,2354621,1,101,85715,
1,W.320,2354622,1,102,85715,
1,W.320,2354623,1,102,85714,
1,W.320,2354624,1,103,85714,
1,W.320,2354625,1,101,85714,
1,W.320,2354626,1,102,85714,
1,W.320,2354627,1,103,85714,
1,W.319,2340123,0,102,84762,
1,W.319,2340124,0,101,84762,
1,W.319,2340125,0,102,84762,
1,W.319,2340126,0,101,84762,
1,W.319,2340127,0,101,84763,
1,W.319,2340128,0,102,84761,
1,W.319,2340129,0,103,84761,
1,W.319,2340130,0,101,84761,
1,W.319,2340131,0,102,84761,
1,W.319,2340132,0,103,84761,
1,W.319,2340133,0,103,84762,
1,W.319,2340134,1,101,84765,
1,W.319,2340135,1,102,84765,
1,W.319,2340136,1,103,84765,
1,W.319,2340137,1,101,84765,
1,W.319,2340138,1,102,84765,
1,W.319,2340139,1,103,84765,
1,W.319,2340140,1,101,84765,
1,W.319,2340141,1,102,84765,
1,W.319,2340142,1,102,84764,
1,W.319,2340143,1,103,84764,
1,W.319,2340144,1,101,84764,
1,W.319,2340145,1,102,84764,
1,W.319,2340146,1,103,84764,
4,S.318,2306152,1,934,82721,
4,S.318,2306153,1,934,82728,
4,S.318,2306154,1,937,82722,
4,S.318,2306155,1,2035,82722,
4,S.318,2306156,1,901,82722,
4,S.318,2306157,1,435,82722,
4,S.318,2306158,1,436,82722,
4,S.318,2306159,1,903,82722,
4,S.318,2306160,1,401,82722,
4,S.318,2306161,1,402,82722,
4,S.318,2306162,1,2068,82722,
4,S.318,2306163,1,1268,82722,
4,S.318,2306164,1,403,82722,
4,S.318,2306165,1,2069,82722,
4,S.318,2306166,1,434,82722,
4,S.318,2306167,1,437,82722,
4,S.318,2306168,1,438,82722,
4,S.318,2306169,1,2070,82722,
4,S.318,2306170,1,435,82722,
4,S.318,2306171,1,436,82722,
4,S.318,2306172,1,903,82722,
4,S.318,2306173,1,401,82722,
4,S.318,2306174,1,402,82722,
4,S.318,2306175,1,2068,82722,
4,S.318,2306176,1,1268,82722,
4,S.318,2306177,1,403,82722,
4,S.318,2306178,1,404,82722,
4,S.318,2306179,1,2069,82722,
4,S.318,2306180,1,434,82722,
4,S.318,2306181,1,437,82722,
4,S.318,2306182,1,438,82722,
4,S.318,2306183,1,2070,82722,
4,S.318,2306184,1,435,82722,
4,S.318,2306185,1,436,82722,
4,S.318,2306186,1,439,82722,
4,S.318,2306187,1,401,82722,
4,S.318,2306188,1,402,82722,
4,S.318,2306189,1,938,82722,
4,S.318,2306190,1,1268,82722,
4,S.318,2306191,1,403,82722,
4,S.318,2306192,1,404,82722,
4,S.318,2306193,1,2069,82722,
4,S.318,2306194,1,434,82722,
4,S.318,2306195,1,901,82722,
4,S.318,2306196,1,2037,82722,
4,S.318,2306197,1,435,82722,
4,S.318,2306198,1,2035,82722,
4,S.318,2306199,1,1201,82722,
